SEQ,TX_TIME_US,RX_TIME_US,LATENCY_US,JITTER_US
334,16900810,16902035,1225,26
335,16951409,16952652,1243,18
336,17002009,17003245,1236,7
337,17052610,17053852,1242,6
338,17103210,17104456,1246,4
339,17153810,17155081,1271,25
340,17204409,17205622,1213,58
341,17255009,17256255,1246,33
342,17305610,17306838,1228,18
343,17356210,17357462,1252,24
344,17406810,17408019,1209,43
345,17457409,17458664,1255,46
346,17508009,17509225,1216,39
347,17558610,17559852,1242,26
348,17609210,17610428,1218,24
349,17659810,17661037,1227,9
350,17710409,17711618,1209,18
351,17761009,17762271,1262,53
352,17811610,17812825,1215,47
353,17862210,17863446,1236,21
354,17912811,17914019,1208,28
355,17963409,17964649,1240,32
356,18014009,18015234,1225,15
357,18064610,18065848,1238,13
358,18115210,18116441,1231,7
359,18165810,18167098,1288,57
360,18216409,18217655,1246,42
361,18267009,18268260,1251,5
362,18317610,18318838,1228,23
363,18368210,18369451,1241,13
364,18418811,18420032,1221,20
365,18469409,18470665,1256,35
366,18520009,18521226,1217,39
367,18570610,18571844,1234,17
368,18621210,18622432,1222,12
369,18671811,18673062,1251,29
370,18722409,18723619,1210,41
371,18773009,18774271,1262,52
372,18823610,18824819,1209,53
373,18874210,18875459,1249,40
374,18924810,18926024,1214,35
375,18975409,18976641,1232,18
376,19026009,19027230,1221,11
377,19076610,19077856,1246,25
378,19127210,19128421,1211,35
379,19177811,19179050,1239,28
380,19228409,19229639,1230,9
381,19279009,19280256,1247,17
382,19329611,19330830,1219,28
383,19380210,19381451,1241,22
384,19430810,19432036,1226,15
385,19481409,19482665,1256,30
386,19532009,19533238,1229,27
387,19582610,19583856,1246,17
388,19633210,19634425,1215,31
389,19683810,19685038,1228,13
390,19734409,19735631,1222,6
391,19785009,19786248,1239,17
392,19835610,19836819,1209,30
393,19886211,19887455,1244,35
394,19936810,19938029,1219,25
395,19987409,19988657,1248,29
396,20038009,20039222,1213,35
397,20088610,20089857,1247,34
398,20139210,20140421,1211,36
399,20189811,20191050,1239,28
400,20240409,20241643,1234,5
401,20291009,20292264,1255,21
402,20341611,20342815,1204,51
403,20392210,20393471,1261,57
404,20442810,20444020,1210,51
405,20493409,20494645,1236,26
406,20544009,20545222,1213,23
407,20594611,20595861,1250,37
408,20645210,20646429,1219,31
409,20695810,20697042,1232,13
410,20746409,20747632,1223,9
411,20797009,20798248,1239,16
412,20847611,20848831,1220,19
413,20898210,20899448,1238,18
414,20948811,20950069,1258,20
415,20999409,21000682,1273,15
